game,arm,k,unit_beta,raw_beta_equivalent,vector_layer_norm,n_rows,n_parsed,parse_coverage,measure_units,mean,sd,ci_low,ci_high,p_altruistic,p_altruistic_lo,p_altruistic_hi,p_self_interested,p_middle,mean_move_from_zero,mean_move_p,p_altruistic_move_from_zero,p_altruistic_move_excludes_zero,share_trigram_repeated_5x
prisoners_dilemma,decision,1,10.508308410644531,1.2411032058532598,8.466909408569336,100,100,1.0,P(Cooperate),0.04,0.19694638556693203,0.01566330399154762,0.0983707143588792,0.04,0.01566330399154762,0.0983707143588792,0.96,0.0,0.04,0.04335175126086266,0.04,False,0.03
prisoners_dilemma,decision,2,21.016616821289062,2.4822064117065197,8.466909408569336,100,100,1.0,P(Cooperate),0.1,0.30151134457776346,0.0552291370606751,0.17436566150491345,0.1,0.0552291370606751,0.17436566150491345,0.9,0.0,0.1,0.0011768659106247401,0.1,True,0.08
prisoners_dilemma,decision,3,31.524925231933594,3.7233096175597797,8.466909408569336,100,100,1.0,P(Cooperate),0.24,0.4292346959909283,0.16691325556948772,0.33232336349814473,0.24,0.16691325556948772,0.33232336349814473,0.76,0.0,0.24,1.7668604421878459e-07,0.24,True,0.03
prisoners_dilemma,decision,4,42.033233642578125,4.964412823413039,8.466909408569336,100,98,0.98,P(Cooperate),0.6224489795918368,0.4872668593444899,0.5235658620516659,0.7120945485307797,0.6224489795918368,0.5235658620516659,0.7120945485307797,0.37755102040816324,0.0,0.6224489795918368,2.4305112310649327e-21,0.6224489795918368,True,0.0
prisoners_dilemma,decision,5,52.541542053222656,6.205516029266299,8.466909408569336,100,86,0.86,P(Cooperate),0.9069767441860465,0.29216864496359507,0.8270425887501315,0.9521077157847294,0.9069767441860465,0.8270425887501315,0.9521077157847294,0.09302325581395349,0.0,0.9069767441860465,7.649349428443002e-36,0.9069767441860465,True,0.0
prisoners_dilemma,shuffled-null,-5,-52.541542053222656,-20.645452856602038,2.544945001602173,100,100,1.0,P(Cooperate),0.05,0.21904291355759037,0.02154367915436796,0.11175046923191913,0.05,0.02154367915436796,0.11175046923191913,0.95,0.0,0.05,0.02354005826117795,0.05,True,0.57
prisoners_dilemma,shuffled-null,0,0.0,0.0,2.544945001602173,100,100,1.0,P(Cooperate),0.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.0,0.0,,0.0,False,0.19
prisoners_dilemma,shuffled-null,5,52.541542053222656,20.645452856602038,2.544945001602173,100,100,1.0,P(Cooperate),0.21,0.4093601807403326,0.141656540619153,0.29979968834089865,0.21,0.141656540619153,0.29979968834089865,0.79,0.0,0.21,1.2729385642530569e-06,0.21,True,0.14
trust,decision,-5,-52.541542053222656,-9.77834470556194,5.373255252838135,100,95,0.95,dollars sent,0.5263157894736842,5.129891760425759,-0.5186965483508436,1.5713281272982118,0.010526315789473684,0.001860576262347903,0.05723870141313616,0.9894736842105263,0.0,-32.92266380236305,2.108305124441501e-21,-0.32620837808807734,True,0.65
trust,decision,-4,-42.033233642578125,-7.822675764449552,5.373255252838135,100,96,0.96,dollars sent,3.125,17.490598978639323,-0.41892473744370573,6.668924737443706,0.03125,0.010684070371201164,0.0878867932453698,0.96875,0.0,-30.323979591836732,4.096760280433064e-17,-0.305484693877551,True,0.55
