game,arm,k,unit_beta,raw_beta_equivalent,vector_layer_norm,n_rows,n_parsed,parse_coverage,measure_units,mean,sd,ci_low,ci_high,p_altruistic,p_altruistic_lo,p_altruistic_hi,p_self_interested,p_middle,mean_move_from_zero,mean_move_p,p_altruistic_move_from_zero,p_altruistic_move_excludes_zero,share_trigram_repeated_5x
trust,shuffled-null,0,0.0,0.0,1.3192237615585327,100,98,0.98,dollars sent,33.44897959183673,26.62255165606767,28.111495621090107,38.78646356258336,0.336734693877551,0.2509013451362383,0.4348847740871675,0.2755102040816326,0.3877551020408163,0.0,1.0,0.0,False,0.47
trust,shuffled-null,5,52.541542053222656,39.82761953222402,1.3192237615585327,100,100,1.0,dollars sent,29.45,12.124251512875942,27.044285462285416,31.855714537714583,0.1,0.0552291370606751,0.17436566150491345,0.03,0.87,-3.998979591836733,0.1774878736105744,-0.236734693877551,True,0.4
ultimatum,decision,-5,-52.541542053222656,-7.332031828857773,7.166027545928955,100,100,1.0,dollars offered,10.43,29.7766958570224,4.52165753182628,16.33834246817372,0.1,0.0552291370606751,0.17436566150491345,0.9,0.0,-9.307373737373737,0.01658004873273609,-0.11212121212121212,True,0.01
ultimatum,decision,-4,-42.033233642578125,-5.865625463086219,7.166027545928955,100,100,1.0,dollars offered,9.56,28.343249601621157,3.936084367741805,15.183915632258195,0.09,0.04807254000256516,0.1622621285271631,0.91,0.0,-10.177373737373737,0.0071069143856609205,-0.12212121212121213,True,0.02
ultimatum,decision,-3,-31.524925231933594,-4.399219097314663,7.166027545928955,100,100,1.0,dollars offered,13.09,32.29381996730655,6.682205498939011,19.497794501060987,0.13,0.07757167427240512,0.20980351440076428,0.87,0.0,-6.647373737373737,0.10228019471971195,-0.08212121212121212,False,0.0
ultimatum,decision,-2,-21.016616821289062,-2.9328127315431094,7.166027545928955,100,100,1.0,dollars offered,8.76,26.85769456926188,3.4308507155139845,14.089149284486016,0.08,0.041093461484380624,0.14998107700948735,0.92,0.0,-10.977373737373737,0.0028234359325888855,-0.13212121212121214,True,0.01
ultimatum,decision,-1,-10.508308410644531,-1.4664063657715547,7.166027545928955,100,100,1.0,dollars offered,4.395,17.73931532164665,0.8751349829251875,7.914865017074812,0.04,0.01566330399154762,0.0983707143588792,0.96,0.0,-15.342373737373737,9.221472575570802e-07,-0.17212121212121212,True,0.0
ultimatum,decision,0,0.0,0.0,7.166027545928955,100,99,0.99,dollars offered,19.737373737373737,24.28722090225255,14.893372934596405,24.581374540151067,0.21212121212121213,0.14313535489794357,0.30261346417141166,0.5656565656565656,0.2222222222222222,0.0,1.0,0.0,False,0.02
ultimatum,decision,1,10.508308410644531,1.4664063657715547,7.166027545928955,100,98,0.98,dollars offered,42.52040816326531,14.694293437436851,39.57438868710848,45.466427639422136,0.3979591836734694,0.3066658517438515,0.4969504727707772,0.02040816326530612,0.5816326530612245,22.78303442589157,2.631825256556757e-13,0.18583797155225726,True,0.0
ultimatum,decision,2,21.016616821289062,2.9328127315431094,7.166027545928955,100,94,0.94,dollars offered,44.57446808510638,9.936886167370114,42.53919686665711,46.609739303555656,0.4148936170212766,0.32055034593510945,0.5159197947102598,0.0,0.5851063829787234,24.837094347732645,2.5601693386487247e-16,0.20277240490006446,True,0.0
