family,game_id,arm,k,unit_beta,raw_beta_equivalent,vector,vector_sha256_16,vector_layer_norm,rows_csv,n_rows
apology,altruism_v3/apology,decision,3,31.524925231933594,3.9391923317959696,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef31.5249.csv,100
apology,altruism_v3/apology,decision,-3,-31.524925231933594,-3.9391923317959696,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef-31.5249.csv,100
apology,altruism_v3/apology,decision,4,42.033233642578125,5.252256442394627,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef42.0332.csv,100
apology,altruism_v3/apology,decision,-4,-42.033233642578125,-5.252256442394627,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef-42.0332.csv,100
apology,altruism_v3/apology,decision,5,52.541542053222656,6.565320552993283,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef52.5415.csv,100
apology,altruism_v3/apology,decision,-5,-52.541542053222656,-6.565320552993283,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef-52.5415.csv,100
apology,altruism_v3/apology,shuffled-null,0,0.0,0.0,results/crossgame-per-game-steering/vectors/null_apology_response_avg_diff_cellbalanced_strict_seed20260821.pt,ef7322c9143e69fc,1.3286070823669434,apology/shuffled-null/altruism_v3-apology_free_layer20_all_unit_coef0.csv,100
apology,altruism_v3/apology,shuffled-null,5,52.541542053222656,39.546335971368386,results/crossgame-per-game-steering/vectors/null_apology_response_avg_diff_cellbalanced_strict_seed20260821.pt,ef7322c9143e69fc,1.3286070823669434,apology/shuffled-null/altruism_v3-apology_free_layer20_all_unit_coef52.5415.csv,100
apology,altruism_v3/apology,shuffled-null,-5,-52.541542053222656,-39.546335971368386,results/crossgame-per-game-steering/vectors/null_apology_response_avg_diff_cellbalanced_strict_seed20260821.pt,ef7322c9143e69fc,1.3286070823669434,apology/shuffled-null/altruism_v3-apology_free_layer20_all_unit_coef-52.5415.csv,100
overfishing,altruism_v3/overfishing,decision,0,0.0,0.0,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef0.csv,100
overfishing,altruism_v3/overfishing,decision,1,10.508308410644531,4.621517703988049,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef10.5083.csv,100
overfishing,altruism_v3/overfishing,decision,-1,-10.508308410644531,-4.621517703988049,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef-10.5083.csv,100
overfishing,altruism_v3/overfishing,decision,2,21.016616821289062,9.243035407976098,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef21.0166.csv,100
overfishing,altruism_v3/overfishing,decision,-2,-21.016616821289062,-9.243035407976098,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef-21.0166.csv,100
overfishing,altruism_v3/overfishing,decision,3,31.524925231933594,13.864553111964147,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef31.5249.csv,100
overfishing,altruism_v3/overfishing,decision,-3,-31.524925231933594,-13.864553111964147,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef-31.5249.csv,100
overfishing,altruism_v3/overfishing,decision,4,42.033233642578125,18.486070815952196,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef42.0332.csv,100
overfishing,altruism_v3/overfishing,decision,-4,-42.033233642578125,-18.486070815952196,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef-42.0332.csv,100
overfishing,altruism_v3/overfishing,decision,5,52.541542053222656,23.107588519940244,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef52.5415.csv,100
overfishing,altruism_v3/overfishing,decision,-5,-52.541542053222656,-23.107588519940244,results/crossgame-decision-vectors/vectors/decision_overfishing_response_avg_diff_cellbalanced_strict.pt,6fc1fc3ada23fef6,2.2737786769866943,overfishing/decision/altruism_v3-overfishing_free_layer20_all_unit_coef-52.5415.csv,100
